"","Group.1","Group.2","Group.3","Group.4","mean.dataset2006_final$ytotaj"
"1417","alto hospicio ","no","aymara","mujer",45450
"1418","arica ","no","aymara","mujer",62865.4285714286
"1419","camarones ","no","aymara","mujer",99767.5217391304
"1420","putre ","no","aymara","mujer",137573.302325581
"1421","general lagos ","no","aymara","mujer",72537.2857142857
"1422","calama ","no","aymara","mujer",138320
"1423","carahue ","no","aymara","mujer",52419
"1424","saavedra ","no","aymara","mujer",48312
"1425","collipulli ","no","aymara","mujer",95710
"1426","pirque ","no","aymara","mujer",181800
"1427","camiña ","sí","rapa nui ","mujer",NA
"1428","san pedro de atacama ","sí","rapa nui ","mujer",500758
"1429","santa juana ","sí","rapa nui ","mujer",44186
"1430","gorbea ","sí","rapa nui ","mujer",576771
"1431","osorno ","sí","rapa nui ","mujer",NA
"1432","porvenir ","sí","rapa nui ","mujer",NA
"1433","natales ","sí","rapa nui ","mujer",153520
"1434","la pintana ","sí","rapa nui ","mujer",NA
"1435","san miguel ","sí","rapa nui ","mujer",NA
"1436","talagante ","sí","rapa nui ","mujer",60250
"1437","san esteban ","no","rapa nui ","mujer",8252
"1438","la pintana ","no","rapa nui ","mujer",8332
"1439","iquique ","sí","quechua ","mujer",121200
"1440","colchane ","sí","quechua ","mujer",64770
"1441","huara ","sí","quechua ","mujer",90294.4545454545
"1442","pozo almonte ","sí","quechua ","mujer",148100.090909091
"1443","alto hospicio ","sí","quechua ","mujer",684801.333333333
"1444","mejillones ","sí","quechua ","mujer",NA
"1445","calama ","sí","quechua ","mujer",184034.125
"1446","ollague ","sí","quechua ","mujer",177429.428571429
"1447","san pedro de atacama ","sí","quechua ","mujer",378128.5
"1448","paihuano ","sí","quechua ","mujer",NA
"1449","salamanca ","sí","quechua ","mujer",87828
"1450","linares ","sí","quechua ","mujer",3952
"1451","villa alegre ","sí","quechua ","mujer",NA
"1452","fresia ","sí","quechua ","mujer",NA
"1453","quemchi ","sí","quechua ","mujer",194930
"1454","futaleufú ","sí","quechua ","mujer",177840
"1455","coyhaique ","sí","quechua ","mujer",109340
"1456","estación central ","sí","quechua ","mujer",65650
"1457","san ramón ","sí","quechua ","mujer",93324
"1458","isla de maipo ","sí","quechua ","mujer",156550
"1459","colchane ","no","quechua ","mujer",51503
"1460","huara ","no","quechua ","mujer",44186
"1461","sierra gorda ","no","quechua ","mujer",715578
"1462","calama ","no","quechua ","mujer",81576.5
"1463","ollague ","no","quechua ","mujer",76420.125
"1464","melipeuco ","no","quechua ","mujer",44186
"1465","iquique ","sí","mapuche ","mujer",140640
"1466","camiña ","sí","mapuche ","mujer",279934
"1467","huara ","sí","mapuche ","mujer",37660
"1468","pica ","sí","mapuche ","mujer",NA
"1469","pozo almonte ","sí","mapuche ","mujer",263467.75
"1470","alto hospicio ","sí","mapuche ","mujer",151216
"1471","arica ","sí","mapuche ","mujer",306115
"1472","putre ","sí","mapuche ","mujer",50586
"1473","antofagasta ","sí","mapuche ","mujer",226273.75
"1474","mejillones ","sí","mapuche ","mujer",156757.6
"1475","sierra gorda ","sí","mapuche ","mujer",273885
"1476","taltal ","sí","mapuche ","mujer",4126
"1477","calama ","sí","mapuche ","mujer",503150.6
"1478","san pedro de atacama ","sí","mapuche ","mujer",458504.666666667
"1479","tocopilla ","sí","mapuche ","mujer",NA
"1480","maría elena ","sí","mapuche ","mujer",150286
"1481","copiapó ","sí","mapuche ","mujer",NA
"1482","caldera ","sí","mapuche ","mujer",236911.5
"1483","tierra amarilla ","sí","mapuche ","mujer",220965.888888889
"1484","chañaral ","sí","mapuche ","mujer",177858.333333333
"1485","diego de almagro ","sí","mapuche ","mujer",59280
"1486","vallenar ","sí","mapuche ","mujer",89863.6
"1487","freirina ","sí","mapuche ","mujer",304585
"1488","la serena ","sí","mapuche ","mujer",437986.5
"1489","coquimbo ","sí","mapuche ","mujer",149108.666666667
"1490","la higuera ","sí","mapuche ","mujer",349124
"1491","paihuano ","sí","mapuche ","mujer",632437
"1492","vicuña ","sí","mapuche ","mujer",281500
"1493","illapel ","sí","mapuche ","mujer",NA
"1494","canela ","sí","mapuche ","mujer",588511
"1495","los vilos ","sí","mapuche ","mujer",100447
"1496","salamanca ","sí","mapuche ","mujer",138679.75
"1497","ovalle ","sí","mapuche ","mujer",136350
"1498","monte patria ","sí","mapuche ","mujer",4126
"1499","valparaíso ","sí","mapuche ","mujer",241938.5
"1500","casablanca ","sí","mapuche ","mujer",213778.5
"1501","concón ","sí","mapuche ","mujer",305598.666666667
"1502","puchuncaví ","sí","mapuche ","mujer",55308.3333333333
"1503","quilpué ","sí","mapuche ","mujer",278605
"1504","quintero ","sí","mapuche ","mujer",144068.5
"1505","villa alemana ","sí","mapuche ","mujer",53085.8333333333
"1506","viña del mar ","sí","mapuche ","mujer",218625
"1507","los andes ","sí","mapuche ","mujer",180075.5
"1508","calle larga ","sí","mapuche ","mujer",132310
"1509","rinconada ","sí","mapuche ","mujer",246936
"1510","san esteban ","sí","mapuche ","mujer",53216.5
"1511","la ligua ","sí","mapuche ","mujer",292669
"1512","cabildo ","sí","mapuche ","mujer",37875
"1513","papudo ","sí","mapuche ","mujer",221482.5
"1514","zapallar ","sí","mapuche ","mujer",97998.6666666667
"1515","quillota ","sí","mapuche ","mujer",179906
"1516","la calera ","sí","mapuche ","mujer",142951.333333333
"1517","hijuelas ","sí","mapuche ","mujer",NA
"1518","la cruz ","sí","mapuche ","mujer",122353
"1519","limache ","sí","mapuche ","mujer",293552
"1520","nogales ","sí","mapuche ","mujer",NA
"1521","san antonio ","sí","mapuche ","mujer",61377.1666666667
"1522","algarrobo ","sí","mapuche ","mujer",54058.6666666667
"1523","cartagena ","sí","mapuche ","mujer",113247.571428571
"1524","el quisco ","sí","mapuche ","mujer",63983.5
"1525","el tabo ","sí","mapuche ","mujer",NA
"1526","san felipe ","sí","mapuche ","mujer",225015.5
"1527","catemu ","sí","mapuche ","mujer",8252
"1528","llay llay ","sí","mapuche ","mujer",192128
"1529","panquehue ","sí","mapuche ","mujer",106107
"1530","putaendo ","sí","mapuche ","mujer",8252
"1531","santa maría ","sí","mapuche ","mujer",61150.8333333333
"1532","rancagua ","sí","mapuche ","mujer",442852
"1533","coinco ","sí","mapuche ","mujer",167241
"1534","coltauco ","sí","mapuche ","mujer",88880
"1535","doñihue ","sí","mapuche ","mujer",133806.666666667
"1536","graneros ","sí","mapuche ","mujer",4126
"1537","las cabras ","sí","mapuche ","mujer",NA
"1538","machalí ","sí","mapuche ","mujer",NA
"1539","malloa ","sí","mapuche ","mujer",NA
"1540","mostazal ","sí","mapuche ","mujer",93580.3333333333
"1541","olivar ","sí","mapuche ","mujer",128257
"1542","peumo ","sí","mapuche ","mujer",153325
"1543","pichidegua ","sí","mapuche ","mujer",55088
"1544","quinta de tilcoco ","sí","mapuche ","mujer",2813
"1545","rengo ","sí","mapuche ","mujer",64726
"1546","requínoa ","sí","mapuche ","mujer",259974.666666667
"1547","san vicente ","sí","mapuche ","mujer",89876
"1548","pichilemu ","sí","mapuche ","mujer",NA
"1549","la estrella ","sí","mapuche ","mujer",37413
"1550","litueche ","sí","mapuche ","mujer",4126
"1551","marchihue ","sí","mapuche ","mujer",141400
"1552","paredones ","sí","mapuche ","mujer",216667.5
"1553","san fernando ","sí","mapuche ","mujer",41453
"1554","chépica ","sí","mapuche ","mujer",132735
"1555","chimbarongo ","sí","mapuche ","mujer",109585
"1556","nancagua ","sí","mapuche ","mujer",NA
"1557","palmilla ","sí","mapuche ","mujer",109080
"1558","placilla ","sí","mapuche ","mujer",128775
"1559","pumanque ","sí","mapuche ","mujer",NA
"1560","santa cruz ","sí","mapuche ","mujer",179878.333333333
"1561","talca ","sí","mapuche ","mujer",224680.75
"1562","constitución ","sí","mapuche ","mujer",91044.3333333333
"1563","curepto ","sí","mapuche ","mujer",62929.3333333333
"1564","empedrado ","sí","mapuche ","mujer",146782.2
"1565","maule ","sí","mapuche ","mujer",118230
"1566","pelarco ","sí","mapuche ","mujer",6586
"1567","san clemente ","sí","mapuche ","mujer",NA
"1568","san rafael ","sí","mapuche ","mujer",300
"1569","cauquenes ","sí","mapuche ","mujer",4126
"1570","chanco ","sí","mapuche ","mujer",177049.5
"1571","pelluhue ","sí","mapuche ","mujer",NA
"1572","curicó ","sí","mapuche ","mujer",152677.5
"1573","hualañé ","sí","mapuche ","mujer",131912.666666667
"1574","licantén ","sí","mapuche ","mujer",168955.3
"1575","molina ","sí","mapuche ","mujer",127795
"1576","rauco ","sí","mapuche ","mujer",NA
"1577","romeral ","sí","mapuche ","mujer",113555.666666667
"1578","sagrada familia ","sí","mapuche ","mujer",129543
"1579","teno ","sí","mapuche ","mujer",316160
"1580","vichuquén ","sí","mapuche ","mujer",118274.875
"1581","linares ","sí","mapuche ","mujer",71266
"1582","colbún ","sí","mapuche ","mujer",NA
"1583","longaví ","sí","mapuche ","mujer",3623
"1584","parral ","sí","mapuche ","mujer",118175
"1585","retiro ","sí","mapuche ","mujer",72817
"1586","san javier ","sí","mapuche ","mujer",64916.3333333333
"1587","villa alegre ","sí","mapuche ","mujer",27814.5
"1588","yerbas buenas ","sí","mapuche ","mujer",97576.25
"1589","concepción ","sí","mapuche ","mujer",308111.5
"1590","coronel ","sí","mapuche ","mujer",169432.153846154
"1591","chiguayante ","sí","mapuche ","mujer",131300
"1592","florida ","sí","mapuche ","mujer",86805.1428571429
"1593","hualqui ","sí","mapuche ","mujer",51649.5
"1594","lota ","sí","mapuche ","mujer",146439.5
"1595","penco ","sí","mapuche ","mujer",92417.4545454545
"1596","san pedro de la paz ","sí","mapuche ","mujer",61545.8333333333
"1597","santa juana ","sí","mapuche ","mujer",122144.6
"1598","talcahuano ","sí","mapuche ","mujer",95389
"1599","tomé ","sí","mapuche ","mujer",82467
"1600","hualpén ","sí","mapuche ","mujer",132845.333333333
"1601","lebu ","sí","mapuche ","mujer",117588.15
"1602","arauco ","sí","mapuche ","mujer",67747
"1603","cañete ","sí","mapuche ","mujer",79431.2258064516
"1604","contulmo ","sí","mapuche ","mujer",73713.1428571429
"1605","curanilahue ","sí","mapuche ","mujer",104058.4
"1606","los alamos ","sí","mapuche ","mujer",67500.6666666667
"1607","tirúa ","sí","mapuche ","mujer",118188.575757576
"1608","los angeles ","sí","mapuche ","mujer",74398.4
"1609","antuco ","sí","mapuche ","mujer",100784.5
"1610","cabrero ","sí","mapuche ","mujer",138320
"1611","laja ","sí","mapuche ","mujer",207422
"1612","mulchén ","sí","mapuche ","mujer",80876
"1613","nacimiento ","sí","mapuche ","mujer",58295.5
"1614","negrete ","sí","mapuche ","mujer",4126
"1615","quilaco ","sí","mapuche ","mujer",159980
"1616","quilleco","sí","mapuche ","mujer",NA
"1617","san rosendo ","sí","mapuche ","mujer",103472.25
"1618","santa bárbara ","sí","mapuche ","mujer",207701.333333333
"1619","tucapel","sí","mapuche ","mujer",31606.6666666667
"1620","yumbel ","sí","mapuche ","mujer",5626
"1621","alto bío bío ","sí","mapuche ","mujer",137074.714285714
"1622","chillán ","sí","mapuche ","mujer",68876.25
"1623","bulnes ","sí","mapuche ","mujer",44186
"1624","cobquecura ","sí","mapuche ","mujer",80576.3333333333
"1625","coelemu ","sí","mapuche ","mujer",40400
"1626","coihueco ","sí","mapuche ","mujer",NA
"1627","chillán viejo ","sí","mapuche ","mujer",274157.666666667
"1628","Ñiquén ","sí","mapuche ","mujer",34521.3333333333
"1629","pemuco ","sí","mapuche ","mujer",NA
"1630","pinto ","sí","mapuche ","mujer",5835
"1631","portezuelo ","sí","mapuche ","mujer",4126
"1632","quillón ","sí","mapuche ","mujer",44988
"1633","quirihue ","sí","mapuche ","mujer",31790.5
"1634","ránquil ","sí","mapuche ","mujer",47103
"1635","san carlos ","sí","mapuche ","mujer",77643
"1636","san fabián ","sí","mapuche ","mujer",100459.333333333
"1637","san ignacio ","sí","mapuche ","mujer",4126
"1638","san nicolás ","sí","mapuche ","mujer",69600
"1639","trehuaco ","sí","mapuche ","mujer",46595
"1640","yungay ","sí","mapuche ","mujer",161668.5
"1641","temuco ","sí","mapuche ","mujer",210981.733333333
"1642","carahue ","sí","mapuche ","mujer",133817.833333333
"1643","cunco ","sí","mapuche ","mujer",187400.888888889
"1644","curarrehue ","sí","mapuche ","mujer",128901.016949153
"1645","freire ","sí","mapuche ","mujer",86211.0746268657
"1646","galvarino ","sí","mapuche ","mujer",75191.2954545455
"1647","gorbea ","sí","mapuche ","mujer",125587.526315789
"1648","lautaro ","sí","mapuche ","mujer",83082.8048780488
"1649","loncoche ","sí","mapuche ","mujer",68565.2083333333
"1650","melipeuco ","sí","mapuche ","mujer",125352.263157895
"1651","nueva imperial ","sí","mapuche ","mujer",125173.694915254
"1652","padre las casas ","sí","mapuche ","mujer",134526.346938776
"1653","perquenco ","sí","mapuche ","mujer",93510.6206896552
"1654","pitrufquén ","sí","mapuche ","mujer",88434.9677419355
"1655","pucón ","sí","mapuche ","mujer",127534.88
"1656","saavedra ","sí","mapuche ","mujer",84643.5820895522
"1657","teodoro schimdt ","sí","mapuche ","mujer",115232.725
"1658","toltén ","sí","mapuche ","mujer",81491.1515151515
"1659","vilcún ","sí","mapuche ","mujer",87378.5227272727
"1660","villarrica ","sí","mapuche ","mujer",92035.8
"1661","cholchol ","sí","mapuche ","mujer",108424.384615385
"1662","angol ","sí","mapuche ","mujer",79113.2222222222
"1663","collipulli ","sí","mapuche ","mujer",106448.75
"1664","curacautín ","sí","mapuche ","mujer",46102.5714285714
"1665","ercilla ","sí","mapuche ","mujer",85371.5217391304
"1666","lonquimay ","sí","mapuche ","mujer",56522.9565217391
"1667","los sauces ","sí","mapuche ","mujer",61863.4210526316
"1668","lumaco ","sí","mapuche ","mujer",69723.7826086956
"1669","purén ","sí","mapuche ","mujer",60225.1666666667
"1670","renaico ","sí","mapuche ","mujer",126490.666666667
"1671","traiguén ","sí","mapuche ","mujer",76808.2222222222
"1672","victoria ","sí","mapuche ","mujer",91148.9
"1673","puerto montt ","sí","mapuche ","mujer",246354.736842105
"1674","calbuco ","sí","mapuche ","mujer",156836.166666667
"1675","cochamó ","sí","mapuche ","mujer",102943.333333333
"1676","fresia ","sí","mapuche ","mujer",125656.583333333
"1677","frutillar ","sí","mapuche ","mujer",132700.833333333
"1678","los muermos ","sí","mapuche ","mujer",60807
"1679","llanquihue ","sí","mapuche ","mujer",65856.9090909091
"1680","maullín ","sí","mapuche ","mujer",330079.533333333
"1681","puerto varas ","sí","mapuche ","mujer",106469.5625
"1682","castro ","sí","mapuche ","mujer",190200.09375
"1683","ancud ","sí","mapuche ","mujer",205423.481481481
"1684","chonchi ","sí","mapuche ","mujer",138073.625
"1685","curaco de vélez ","sí","mapuche ","mujer",143835.826086957
"1686","dalcahue ","sí","mapuche ","mujer",213832.272727273
"1687","puqueldón ","sí","mapuche ","mujer",192360.764705882
"1688","queilén ","sí","mapuche ","mujer",126664.565217391
"1689","quellón ","sí","mapuche ","mujer",156157.459459459
"1690","quemchi ","sí","mapuche ","mujer",150269.807692308
"1691","quinchao ","sí","mapuche ","mujer",130245.170731707
"1692","osorno ","sí","mapuche ","mujer",99820.9387755102
"1693","puerto octay ","sí","mapuche ","mujer",143188.026315789
"1694","purranque ","sí","mapuche ","mujer",94019.9473684211
"1695","puyehue ","sí","mapuche ","mujer",150778.833333333
"1696","río negro ","sí","mapuche ","mujer",88995.1388888889
"1697","san juan de la costa ","sí","mapuche ","mujer",76666.25
"1698","san pablo ","sí","mapuche ","mujer",175292.622222222
"1699","chaitén ","sí","mapuche ","mujer",99453.7727272727
"1700","futaleufú ","sí","mapuche ","mujer",235709.272727273
"1701","hualaihué ","sí","mapuche ","mujer",118481.888888889
"1702","palena ","sí","mapuche ","mujer",197203.1
"1703","valdivia ","sí","mapuche ","mujer",116815.846153846
"1704","corral ","sí","mapuche ","mujer",94933
"1705","futrono ","sí","mapuche ","mujer",104907.619047619
"1706","la unión ","sí","mapuche ","mujer",83401.7391304348
"1707","lago ranco ","sí","mapuche ","mujer",84943.6944444444
"1708","lanco ","sí","mapuche ","mujer",81094.3448275862
"1709","los lagos ","sí","mapuche ","mujer",112106.8
"1710","máfil ","sí","mapuche ","mujer",80016
"1711","mariquina ","sí","mapuche ","mujer",110512.891304348
"1712","paillaco ","sí","mapuche ","mujer",95482.625
"1713","panguipulli ","sí","mapuche ","mujer",132462.88
"1714","río bueno ","sí","mapuche ","mujer",67503.0714285714
"1715","coyhaique ","sí","mapuche ","mujer",226508.578947368
"1716","aisén ","sí","mapuche ","mujer",210825.652173913
"1717","cisnes ","sí","mapuche ","mujer",127636.181818182
"1718","cochrane ","sí","mapuche ","mujer",110674.714285714
"1719","chile chico ","sí","mapuche ","mujer",183865.142857143
"1720","río ibáñez ","sí","mapuche ","mujer",97311.5333333333
"1721","punta arenas ","sí","mapuche ","mujer",187582.074074074
"1722","san gregorio ","sí","mapuche ","mujer",266089.875
"1723","cabo de hornos ","sí","mapuche ","mujer",256134.5
"1724","porvenir ","sí","mapuche ","mujer",354688
"1725","primavera ","sí","mapuche ","mujer",190991.583333333
"1726","natales ","sí","mapuche ","mujer",115733.771428571
"1727","santiago ","sí","mapuche ","mujer",276615.8
"1728","cerrillos ","sí","mapuche ","mujer",168917.4
"1729","cerro navia ","sí","mapuche ","mujer",145776.129032258
"1730","conchalí ","sí","mapuche ","mujer",143592.375
"1731","el bosque ","sí","mapuche ","mujer",96577.3571428571
"1732","estación central ","sí","mapuche ","mujer",171363.090909091
"1733","huechuraba ","sí","mapuche ","mujer",127833.333333333
"1734","independencia ","sí","mapuche ","mujer",205940.6
"1735","la cisterna ","sí","mapuche ","mujer",140195.333333333
"1736","la florida ","sí","mapuche ","mujer",132999.333333333
"1737","la granja ","sí","mapuche ","mujer",146843.117647059
"1738","la pintana ","sí","mapuche ","mujer",165301
"1739","la reina ","sí","mapuche ","mujer",150699
"1740","las condes ","sí","mapuche ","mujer",555030
"1741","lo barnechea ","sí","mapuche ","mujer",125638.666666667
"1742","lo espejo ","sí","mapuche ","mujer",119160.875
"1743","lo prado ","sí","mapuche ","mujer",166468.636363636
"1744","macul ","sí","mapuche ","mujer",196809.285714286
"1745","maipú ","sí","mapuche ","mujer",111526.416666667
"1746","Ñuñoa ","sí","mapuche ","mujer",1079656.5
"1747","pedro aguirre cerda ","sí","mapuche ","mujer",229033
"1748","peñalolén ","sí","mapuche ","mujer",164593.142857143
"1749","providencia ","sí","mapuche ","mujer",148441.666666667
"1750","pudahuel ","sí","mapuche ","mujer",131869.5625
"1751","quilicura ","sí","mapuche ","mujer",204793
"1752","quinta normal ","sí","mapuche ","mujer",120892.285714286
"1753","recoleta ","sí","mapuche ","mujer",123772.357142857
"1754","renca ","sí","mapuche ","mujer",212144.769230769
"1755","san joaquín ","sí","mapuche ","mujer",160682
"1756","san miguel ","sí","mapuche ","mujer",322024
"1757","san ramón ","sí","mapuche ","mujer",110149.111111111
"1758","vitacura ","sí","mapuche ","mujer",218777.666666667
"1759","puente alto ","sí","mapuche ","mujer",220121.411764706
"1760","pirque ","sí","mapuche ","mujer",108570.714285714
"1761","san josé de maipo ","sí","mapuche ","mujer",32363
"1762","colina ","sí","mapuche ","mujer",179203.8
"1763","lampa ","sí","mapuche ","mujer",166985
"1764","tiltil ","sí","mapuche ","mujer",111873.75
"1765","san bernardo ","sí","mapuche ","mujer",106456.666666667
"1766","buin ","sí","mapuche ","mujer",118284.75
"1767","calera de tango ","sí","mapuche ","mujer",209314
"1768","paine ","sí","mapuche ","mujer",126863
"1769","melipilla ","sí","mapuche ","mujer",179914
"1770","alhué ","sí","mapuche ","mujer",63380
"1771","curacaví ","sí","mapuche ","mujer",185363.571428571
"1772","maría pinto ","sí","mapuche ","mujer",62389
"1773","san pedro ","sí","mapuche ","mujer",88175.3333333333
"1774","talagante ","sí","mapuche ","mujer",276736.357142857
"1775","el monte ","sí","mapuche ","mujer",129426.5
"1776","isla de maipo ","sí","mapuche ","mujer",334581.666666667
"1777","padre hurtado ","sí","mapuche ","mujer",234189.2
"1778","peñaflor ","sí","mapuche ","mujer",109523.2
"1779","iquique ","no","mapuche ","mujer",44186
"1780","tierra amarilla ","no","mapuche ","mujer",158108
"1781","los vilos ","no","mapuche ","mujer",101000
"1782","río hurtado ","no","mapuche ","mujer",NA
"1783","viña del mar ","no","mapuche ","mujer",161600
"1784","la calera ","no","mapuche ","mujer",276640
"1785","la cruz ","no","mapuche ","mujer",101000
"1786","limache ","no","mapuche ","mujer",NA
"1787","algarrobo ","no","mapuche ","mujer",129186
"1788","cartagena ","no","mapuche ","mujer",81072
"1789","santa maría ","no","mapuche ","mujer",217440
"1790","malloa ","no","mapuche ","mujer",132394
"1791","olivar ","no","mapuche ","mujer",65150
"1792","marchihue ","no","mapuche ","mujer",NA
"1793","chimbarongo ","no","mapuche ","mujer",NA
"1794","constitución ","no","mapuche ","mujer",28564.5
"1795","curepto ","no","mapuche ","mujer",51503
"1796","empedrado ","no","mapuche ","mujer",44186
"1797","maule ","no","mapuche ","mujer",47103
"1798","río claro ","no","mapuche ","mujer",8252
"1799","san rafael ","no","mapuche ","mujer",125600
"1800","licantén ","no","mapuche ","mujer",44186
"1801","sagrada familia ","no","mapuche ","mujer",91206
"1802","retiro ","no","mapuche ","mujer",60600
"1803","yerbas buenas ","no","mapuche ","mujer",106970
"1804","concepción ","no","mapuche ","mujer",23712
"1805","hualqui ","no","mapuche ","mujer",NA
"1806","lota ","no","mapuche ","mujer",90080
"1807","san pedro de la paz ","no","mapuche ","mujer",NA
"1808","santa juana ","no","mapuche ","mujer",45040
"1809","tomé ","no","mapuche ","mujer",47103
"1810","lebu ","no","mapuche ","mujer",24156
"1811","arauco ","no","mapuche ","mujer",51503
"1812","cañete ","no","mapuche ","mujer",77507.2222222222
"1813","contulmo ","no","mapuche ","mujer",82176.75
"1814","curanilahue ","no","mapuche ","mujer",205650
"1815","los alamos ","no","mapuche ","mujer",91743
"1816","tirúa ","no","mapuche ","mujer",53897.3636363636
"1817","antuco ","no","mapuche ","mujer",4126
"1818","mulchén ","no","mapuche ","mujer",35843
"1819","quilleco","no","mapuche ","mujer",8252
"1820","santa bárbara ","no","mapuche ","mujer",94023
"1821","alto bío bío ","no","mapuche ","mujer",56101
"1822","cobquecura ","no","mapuche ","mujer",70647
"1823","coelemu ","no","mapuche ","mujer",94584
"1824","ninhue ","no","mapuche ","mujer",58273
"1825","quirihue ","no","mapuche ","mujer",90080
"1826","san carlos ","no","mapuche ","mujer",NA
"1827","san fabián ","no","mapuche ","mujer",49880
"1828","temuco ","no","mapuche ","mujer",48599
"1829","carahue ","no","mapuche ","mujer",54925.5882352941
"1830","cunco ","no","mapuche ","mujer",69094.4
"1831","curarrehue ","no","mapuche ","mujer",65672.3076923077
"1832","freire ","no","mapuche ","mujer",62482
"1833","galvarino ","no","mapuche ","mujer",105396.541666667
"1834","gorbea ","no","mapuche ","mujer",79293.5
"1835","lautaro ","no","mapuche ","mujer",61943.6153846154
"1836","loncoche ","no","mapuche ","mujer",121489.636363636
"1837","melipeuco ","no","mapuche ","mujer",87155.3157894737
"1838","nueva imperial ","no","mapuche ","mujer",75482.3846153846
"1839","padre las casas ","no","mapuche ","mujer",45531.25
"1840","perquenco ","no","mapuche ","mujer",65275.0625
"1841","pitrufquén ","no","mapuche ","mujer",103304.923076923
"1842","pucón ","no","mapuche ","mujer",39539.75
"1843","saavedra ","no","mapuche ","mujer",79659.7391304348
"1844","teodoro schimdt ","no","mapuche ","mujer",139564
"1845","toltén ","no","mapuche ","mujer",52059.75
"1846","vilcún ","no","mapuche ","mujer",85741
"1847","villarrica ","no","mapuche ","mujer",43746.4
"1848","cholchol ","no","mapuche ","mujer",60921.0833333333
"1849","angol ","no","mapuche ","mujer",53805
"1850","collipulli ","no","mapuche ","mujer",31321.2
"1851","curacautín ","no","mapuche ","mujer",NA
"1852","ercilla ","no","mapuche ","mujer",47398.8333333333
"1853","lonquimay ","no","mapuche ","mujer",84555.25
"1854","los sauces ","no","mapuche ","mujer",70175.2857142857
"1855","lumaco ","no","mapuche ","mujer",46079.6
"1856","purén ","no","mapuche ","mujer",74974.0666666667
"1857","renaico ","no","mapuche ","mujer",NA
"1858","traiguén ","no","mapuche ","mujer",40373.6666666667
"1859","victoria ","no","mapuche ","mujer",66872.7777777778
"1860","puerto montt ","no","mapuche ","mujer",76783.3333333333
"1861","calbuco ","no","mapuche ","mujer",54392.3333333333
"1862","cochamó ","no","mapuche ","mujer",30296
"1863","fresia ","no","mapuche ","mujer",84450
"1864","frutillar ","no","mapuche ","mujer",89074
"1865","llanquihue ","no","mapuche ","mujer",79190.5
"1866","maullín ","no","mapuche ","mujer",64123
"1867","puerto varas ","no","mapuche ","mujer",70982
"1868","castro ","no","mapuche ","mujer",89415.25
"1869","ancud ","no","mapuche ","mujer",64648
"1870","chonchi ","no","mapuche ","mujer",89631
"1871","curaco de vélez ","no","mapuche ","mujer",80777.5
"1872","dalcahue ","no","mapuche ","mujer",NA
"1873","puqueldón ","no","mapuche ","mujer",85031.5
"1874","queilén ","no","mapuche ","mujer",88194.3846153846
"1875","quellón ","no","mapuche ","mujer",88029.375
"1876","quemchi ","no","mapuche ","mujer",108447
"1877","quinchao ","no","mapuche ","mujer",93765.3333333333
"1878","osorno ","no","mapuche ","mujer",89870.6666666667
"1879","puerto octay ","no","mapuche ","mujer",53452
"1880","purranque ","no","mapuche ","mujer",108134.666666667
"1881","puyehue ","no","mapuche ","mujer",68401
"1882","río negro ","no","mapuche ","mujer",59049.625
"1883","san juan de la costa ","no","mapuche ","mujer",92456.7096774193
"1884","san pablo ","no","mapuche ","mujer",79777.7
"1885","chaitén ","no","mapuche ","mujer",92432.75
"1886","futaleufú ","no","mapuche ","mujer",27814.5
"1887","hualaihué ","no","mapuche ","mujer",180893
"1888","palena ","no","mapuche ","mujer",53654.6
"1889","corral ","no","mapuche ","mujer",57399.2222222222
"1890","futrono ","no","mapuche ","mujer",47544.5
"1891","la unión ","no","mapuche ","mujer",89453.5
"1892","lago ranco ","no","mapuche ","mujer",99930.8
"1893","lanco ","no","mapuche ","mujer",69826.75
"1894","los lagos ","no","mapuche ","mujer",74888
"1895","máfil ","no","mapuche ","mujer",43120.1666666667
"1896","mariquina ","no","mapuche ","mujer",73203.75
"1897","panguipulli ","no","mapuche ","mujer",64576.8571428571
"1898","río bueno ","no","mapuche ","mujer",NA
"1899","coyhaique ","no","mapuche ","mujer",42723
"1900","aisén ","no","mapuche ","mujer",86106.5
"1901","cisnes ","no","mapuche ","mujer",197331.5
"1902","chile chico ","no","mapuche ","mujer",141336
"1903","río ibáñez ","no","mapuche ","mujer",28021
"1904","punta arenas ","no","mapuche ","mujer",141311.5
"1905","porvenir ","no","mapuche ","mujer",49670
"1906","primavera ","no","mapuche ","mujer",73276
"1907","natales ","no","mapuche ","mujer",64803.6666666667
"1908","santiago ","no","mapuche ","mujer",NA
"1909","cerro navia ","no","mapuche ","mujer",72104.5
"1910","conchalí ","no","mapuche ","mujer",90080
"1911","el bosque ","no","mapuche ","mujer",141400
"1912","la florida ","no","mapuche ","mujer",80800
"1913","la granja ","no","mapuche ","mujer",39410
"1914","la pintana ","no","mapuche ","mujer",44186
"1915","lo barnechea ","no","mapuche ","mujer",55206.5
"1916","lo prado ","no","mapuche ","mujer",100214
"1917","macul ","no","mapuche ","mujer",47186
"1918","maipú ","no","mapuche ","mujer",136350
"1919","pedro aguirre cerda ","no","mapuche ","mujer",NA
"1920","peñalolén ","no","mapuche ","mujer",67560
"1921","pudahuel ","no","mapuche ","mujer",NA
"1922","renca ","no","mapuche ","mujer",47565
"1923","san joaquín ","no","mapuche ","mujer",104786
"1924","san ramón ","no","mapuche ","mujer",141503
